Authors,Country
DB,Argentina
NC,Argentina
DJV,Ecuador
ACE,Ecuador
BRT,Ecuador
ES,Ecuador
NP,Spain
NB,Argentina
JL,USA
ACCA,Brazil
MCPP,Brazil
RJP,Brazil
SCF,France
RE,Ecuador
PA,Ecuador
DJ ,Ecuador
OD,Ecuador
KAC,USA
ASF,USA
RC,UK
MDb,Belize
JB,UK
JW,USA
DFP,USA
SPH,USA
KAH,USA
LALR,Brazil
GNR,Brazil
STS,Brazil
CHFP,Argentina
FPK,Argentina
HLL,Argentina
EP,Argentina
PFP,Argentina
AG,Argentina
LCAL,Brazil
TAM,Brazil
ESFM,Brazil
SGB,Argentina
JGL,Argentina
CK,Argentina
FP ,Argentina
MD,Argentina
GRG,Brazil
RGA,Brazil
GDM,Argentina
VDV,Argentina
RJA,Argentina
CB,Guatemala
DE,Guatemala
YQ,Guatemala
DM,Germany
JC,Mexico
EACU,Mexico
ZMM,Colombia
KCA,Colombia
