"","name","abrev","country","PubID","affiliation","year","country_study","Journal","Jour_country","Jour_continent"
"50","de Drago, IE","IEMD","Argentina",6,"Latin America",2004,"Paraguay","River Research and Applications","United Kingdom","Europe"
"51","Marchese, M","MERMAR","Argentina",6,"Latin America",2004,"Paraguay","River Research and Applications","United Kingdom","Europe"
"52","Wantzen, KM","KMW","Germany",6,"Europe",2004,"Paraguay","River Research and Applications","United Kingdom","Europe"
"53","Buss, DF","DANFB","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"54","Baptista, DF","DRFB","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"55","Nessimian, JL","JORLNEM","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"56","Egler, M","ME","Brazil",8,"Latin America",2004,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"57","Maltchik, L","LNM","Brazil",10,"Latin America",2004,"Brazil","INTERCIENCIA","Venezuela","Latin America"
"58","Callisto, M","MC","Brazil",10,"Latin America",2004,"Brazil","INTERCIENCIA","Venezuela","Latin America"
"59","Ranvestel, AW","AWR","USA",11,"North America",2004,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"60","Lips, KR","KRL","USA",11,"North America",2004,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"61","Pringle, CM","CMP","USA",11,"North America",2004,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"62","Whiles, MR","MRW","USA",11,"North America",2004,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"63","Bixby, RJ","RJB","USA",11,"North America",2004,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"64","Fenoglio, S","STEFEN","Italy",15,"Europe",2004,"Nicaragua","Caribbean Journal of Science","Puerto Rico","North America"
"65","Bo, T","TBO","Italy",15,"Europe",2004,"Nicaragua","Caribbean Journal of Science","Puerto Rico","North America"
"66","Cucco, M","MCC","Italy",15,"Europe",2004,"Nicaragua","Caribbean Journal of Science","Puerto Rico","North America"
"67","Boyero, L","LUZBOY","Spain",19,"Europe",2004,"Costa Rica","Journal of Tropical Ecology","United Kingdom","Europe"
"68","Bosch, J","JB","Spain",19,"Europe",2004,"Costa Rica","Journal of Tropical Ecology","United Kingdom","Europe"
"69","Siqueira, T","TDS","Brazil",5,"Latin America",2005,"Brazil","REVISTA BRASILEIRA DE ENTOMOLOGIA","Brazil","Latin America"
"70","Trivinho-Strixino, S","STS","Brazil",5,"Latin America",2005,"Brazil","REVISTA BRASILEIRA DE ENTOMOLOGIA","Brazil","Latin America"
"71","Gallego, OF","OFG","Argentina",10,"Latin America",2005,"Chile","REVISTA GEOLOGICA DE CHILE","Chile","Latin America"
"72","Martins-Neto, RG","RGMN","Brazil",10,"Latin America",2005,"Chile","REVISTA GEOLOGICA DE CHILE","Chile","Latin America"
"73","Nielsen, SN","SNN","Germany",10,"Europe",2005,"Chile","REVISTA GEOLOGICA DE CHILE","Chile","Latin America"
"74","Callisto, M","MC","Brazil",16,"Latin America",2005,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"75","Goulart, M","MCG","Brazil",16,"Latin America",2005,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"76","Goulart, M","MCG","Brazil",20,"Latin America",2005,"Brazil","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY","Brazil","Latin America"
"77","Callisto, M","MC","Brazil",20,"Latin America",2005,"Brazil","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY","Brazil","Latin America"
"78","Helson, JE","JEH","Canada",14,"North America",2006,"Trinidad","HYDROBIOLOGIA","Netherlands","Europe"
"79","Williams, DD","DDWS","Canada",14,"North America",2006,"Trinidad","HYDROBIOLOGIA","Netherlands","Europe"
"80","Turner, D","DTRR","Canada",14,"North America",2006,"Trinidad","HYDROBIOLOGIA","Netherlands","Europe"
"81","Panatta, A","APN","Brazil",15,"Latin America",2006,"Brazil","Limnology","Japan","Asia"
"82","Stenert, C","CTNT","Brazil",15,"Latin America",2006,"Brazil","Limnology","Japan","Asia"
"83","de Freitas, SMD","SMDF","Brazil",15,"Latin America",2006,"Brazil","Limnology","Japan","Asia"
"84","Maltchik, L","LMK","Brazil",15,"Latin America",2006,"Brazil","Limnology","Japan","Asia"
"85","Allan, JD","JDA","USA",18,"North America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"86","Flecker, AS","ASF","USA",18,"North America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"87","Segnini, S","SSGN","Venezuela",18,"Latin America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"88","Taphorn, DC","DCTP","Venezuela",18,"Latin America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"89","Sokol, E","ESKO","USA",18,"North America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"90","Kling, GW","GWK","USA",18,"North America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"91","Arrington, DA","DAA","USA",19,"North America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"92","Winemiller, KO","KOWN","USA",19,"North America",2006,"Venezuela","Journal of the North American Benthological Society","United States","North America"
"93","Wantzen, KM","KMWZ","Germany",20,"Europe",2006,"Brazil","Journal of the North American Benthological Society","United States","North America"
"94","Wagner, R","RWGN","Germany",20,"Europe",2006,"Brazil","Journal of the North American Benthological Society","United States","North America"
"95","Hamada, N","NH","Brazil",21,"Latin America",2006,"Brazil","ZOOTAXA","New Zealand","Oceania"
"96","Hernandez, LM","LMH","England",21,"Europe",2006,"Brazil","ZOOTAXA","New Zealand","Oceania"
"97","Luz, SLB","SLBL","Brazil",21,"Latin America",2006,"Brazil","ZOOTAXA","New Zealand","Oceania"
"98","Pepinelli, M","MPL","Brazil",21,"Latin America",2006,"Brazil","ZOOTAXA","New Zealand","Oceania"
"99","Tomanova, S","STMA","Czech Republic",11,"Europe",2007,"Bolivia","Revista de Biología Tropical","Costa Rica","Latin America"
"100","Tedesco, PA","PABTED","Bolivia",11,"Latin America",2007,"Bolivia","Revista de Biología Tropical","Costa Rica","Latin America"
"101","Bogan, MT","MICBG","USA",14,"North America",2007,"Mexico","FRESHWATER BIOLOGY","United Kingdom","Europe"
"102","Lytle, DA","DAL","USA",14,"North America",2007,"Mexico","FRESHWATER BIOLOGY","United Kingdom","Europe"
"103","Tomanova, S","STMA","Czech Republic",15,"Europe",2007,"Bolivia","Archiv fur Hydrobiologie","Germany","Europe"
"104","Tedesco, PA","PABTED","Spain",15,"Europe",2007,"Bolivia","Archiv fur Hydrobiologie","Germany","Europe"
"105","Campero, M","MCAP","Bolivia",15,"Latin America",2007,"Bolivia","Archiv fur Hydrobiologie","Germany","Europe"
"106","Van Damme, PA","PAVD","Bolivia",15,"Latin America",2007,"Bolivia","Archiv fur Hydrobiologie","Germany","Europe"
