"","name","abrev","country","PubID","affiliation","year","country_study","Journal","Jour_country","Jour_continent"
"498","Fischer, S","SYLFIS","Argentina",48,"Latin America",2013,"Argentina","Journal of Vector Ecology","United States","North America"
"499","Zanotti, G","GZ","Argentina",48,"Latin America",2013,"Argentina","Journal of Vector Ecology","United States","North America"
"500","Castro, A","ANDC","Argentina",48,"Latin America",2013,"Argentina","Journal of Vector Ecology","United States","North America"
"501","Quiroga, L","LQ","Argentina",48,"Latin America",2013,"Argentina","Journal of Vector Ecology","United States","North America"
"502","Vargas, DV","DVV","Argentina",48,"Latin America",2013,"Argentina","Journal of Vector Ecology","United States","North America"
"503","Molozzi, J","JM","Brazil",49,"Latin America",2013,"Brazil","Marine and Freshwater Research","Australia","Oceania"
"504","Hepp, LU","LUH","Brazil",49,"Latin America",2013,"Brazil","Marine and Freshwater Research","Australia","Oceania"
"505","Callisto, M","MC","Brazil",49,"Latin America",2013,"Brazil","Marine and Freshwater Research","Australia","Oceania"
"506","Contador, T","TC","Chile",2,"Latin America",2014,"Chile","Bosque","Chile","Latin America"
"507","Kennedy, J","JKN","Chile",2,"Latin America",2014,"Chile","Bosque","Chile","Latin America"
"508","Ojeda, J","JOJ","Chile",2,"Latin America",2014,"Chile","Bosque","Chile","Latin America"
"509","Feinsinger, P","PFE","USA",2,"North America",2014,"Chile","Bosque","Chile","Latin America"
"510","Rozzi, R","RRZ","Chile",2,"Latin America",2014,"Chile","Bosque","Chile","Latin America"
"511","Brasil, LS","LSB","Brazil",3,"Latin America",2014,"Brazil","Neotropical Entomology","United States","North America"
"512","Juen, L","LEAJUEN","Brazil",3,"Latin America",2014,"Brazil","Neotropical Entomology","United States","North America"
"513","Batista, J","JDB","Brazil",3,"Latin America",2014,"Brazil","Neotropical Entomology","United States","North America"
"514","Pavan, MG","MGPAV","Brazil",3,"Latin America",2014,"Brazil","Neotropical Entomology","United States","North America"
"515","Cabette, HSR","HRSC","Brazil",3,"Latin America",2014,"Brazil","Neotropical Entomology","United States","North America"
"516","Rincon, J","JRN","Venezuela",5,"Latin America",2014,"Puerto Rico","Revista de Biologia Tropical","Costa Rica","Latin America"
"517","Covich, A","ALAPCOV","USA",5,"North America",2014,"Puerto Rico","Revista de Biologia Tropical","Costa Rica","Latin America"
"518","Zuniga, MdC","MARDCZUN","Colombia",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"519","Cardona, W","WC","Colombia",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"520","Molineri, C","CMLI","Argentina",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"521","Mendivil, J","JMV","Colombia",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"522","Cultid, C","CARACULM","Colombia",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"523","Chara, AM","AMCS","Colombia",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"524","Giraldo, A","AGI","Colombia",7,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"525","Vasquez-Ramos, JM","JMVR","Colombia",8,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"526","Guevara-Cardona, G","GIOGUEC","Colombia",8,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"527","Reinoso-Florez, G","GRF","Colombia",8,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"528","Salles, FF","FSLL","Brazil",9,"Latin America",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"529","Gattolliat, J-L","JLG","Switzerland",9,"Europe",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"530","Angeli, KB","KBA","Brazil",9,"Latin America",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"531","De-Souza, MR","MRS","Brazil",9,"Latin America",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"532","Goncalves, IC","ICG","Brazil",9,"Latin America",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"533","Nessimian, JL","JORLNEM","Brazil",9,"Latin America",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"534","Sartori, M","MAST","Switzerland",9,"Europe",2014,"Brazil","ZooKeys","Bulgaria","Europe"
"535","Brasil, LS","LSB","Brazil",10,"Latin America",2014,"Brazil","International Journal of Limnology","France","Europe"
"536","Juen, L","LEAJUEN","Brazil",10,"Latin America",2014,"Brazil","International Journal of Limnology","France","Europe"
"537","Cabette, HSR","HRSC","Brazil",10,"Latin America",2014,"Brazil","International Journal of Limnology","France","Europe"
"538","Torres-Garcia, U","UTGC","Mexico",12,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"539","Perez-Valladares, CX","CXPV","Mexico",12,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"540","Herreria-Diego, Y","YHD","Mexico",12,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"541","Pineda-Lopez, RF","RPLN","Mexico",12,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"542","Longo, M","MLG","Colombia",13,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"543","Blanco, JF","JUNFB","Colombia",13,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"544","Jimenez-Valencia, J","JJV","Brazil",16,"Latin America",2014,"Brazil","Environmental Monitoring and Assessment","Netherlands","Europe"
"545","Kaufmann, PR","PHIRKAU","USA",16,"North America",2014,"Brazil","Environmental Monitoring and Assessment","Netherlands","Europe"
"546","Sattamini, A","ASTT","Brazil",16,"Latin America",2014,"Brazil","Environmental Monitoring and Assessment","Netherlands","Europe"
"547","Mugnai, R","RMG","Brazil",16,"Latin America",2014,"Brazil","Environmental Monitoring and Assessment","Netherlands","Europe"
"548","Baptista, DF","DFB","Brazil",16,"Latin America",2014,"Brazil","Environmental Monitoring and Assessment","Netherlands","Europe"
"549","Avelino-Capistrano, F","FAC","Brazil",17,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"550","Nessimian, JL","JORLNEM","Brazil",17,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"551","Santos-Mallet, JR","JRSM","Brazil",17,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"552","Takiya, DM","DMTK","Brazil",17,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"553","Martins, RT","RTM","Brazil",19,"Latin America",2014,"Brazil","Zoologia","Brazil","Latin America"
"554","Melo, AS","ASM","Brazil",19,"Latin America",2014,"Brazil","Zoologia","Brazil","Latin America"
"555","Goncalves, JFJr.","JFG","Brazil",19,"Latin America",2014,"Brazil","Zoologia","Brazil","Latin America"
"556","Hamada, N","NH","Brazil",19,"Latin America",2014,"Brazil","Zoologia","Brazil","Latin America"
"557","Novaes, MC","MARCNOV","Brazil",20,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"558","Bispo, PDC","PDCB","Brazil",20,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"559","Reynaga, MC","MCR","Argentina",21,"Latin America",2014,"Argentina, Bolivia","Revista de Biologia Tropical","Costa Rica","Latin America"
"560","Rueda Martin, PA","PARM","Argentina",21,"Latin America",2014,"Argentina, Bolivia","Revista de Biologia Tropical","Costa Rica","Latin America"
"561","Bispo, PDC","PDCB","Brazil",23,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"562","Machado Costa, LDS","LDMC","Brazil",23,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"563","Novaes, MC","MARCNOV","Brazil",23,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"564","Pires, MM","MMP","Brazil",24,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"565","Kotzian, CB","CBK","Brazil",24,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"566","Spies, MR","MSPI","Brazil",24,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"567","Siegloch, AE","AESI","Brazil",25,"Latin America",2014,"Brazil","Anais da Academia Brasileira de Ciencias","Brazil","Latin America"
"568","Suriano, M","MSRI","Brazil",25,"Latin America",2014,"Brazil","Anais da Academia Brasileira de Ciencias","Brazil","Latin America"
"569","Fonseca-Gessner, A","AAFG","Brazil",25,"Latin America",2014,"Brazil","Anais da Academia Brasileira de Ciencias","Brazil","Latin America"
"570","Spies, M","MSPI","Brazil",25,"Latin America",2014,"Brazil","Anais da Academia Brasileira de Ciencias","Brazil","Latin America"
"571","Braun, BM","BMB","Brazil",26,"Latin America",2014,"Brazil","Biota Neotropica","Brazil","Latin America"
"572","Batalla Salvarrey, AV","AVBS","Brazil",26,"Latin America",2014,"Brazil","Biota Neotropica","Brazil","Latin America"
"573","Kotzian, CB","CBK","Brazil",26,"Latin America",2014,"Brazil","Biota Neotropica","Brazil","Latin America"
"574","Spies, MR","MSPI","Brazil",26,"Latin America",2014,"Brazil","Biota Neotropica","Brazil","Latin America"
"575","Pires, MM","MMP","Brazil",26,"Latin America",2014,"Brazil","Biota Neotropica","Brazil","Latin America"
"576","Novaes, MC","MARCNOV","Brazil",28,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"577","Bispo, PDC","PDCB","Brazil",28,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"578","Castro, DMP","DMPC","Brazil",29,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"579","Hughes, RM","RMH","Brazil",29,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"580","Callisto, M","MC","Brazil",29,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"581","Duarte, T","TDU","Brazil",30,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"582","Calor, AR","ADORC","Brazil",30,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"583","Bispo, PC","PDCB","Brazil",30,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"584","Novaes, MC","MARCNOV","Brazil",31,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"585","Bispo, PDC","PDCB","Brazil",31,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"586","Giraldo, LP","LPG","Colombia",32,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"587","Chara, J","JULCHA","Colombia",32,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"588","Zuniga, MC","MARDCZUN","Colombia",32,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"589","Chara-Serna, AM","AMCS","Colombia",32,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"590","Pedraza, G","GPE","Colombia",32,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"591","Guzman-Soto, CJ","CJGS","Colombia",33,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"592","Tamaris-Turizo, CE","CETT","Colombia",33,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"593","Batalla Salvarrey, AV","AVBS","Brazil",34,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"594","Kotzian, CB","CBK","Brazil",34,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"595","Spies, MR","MSPI","Brazil",34,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"596","Braun, B","BMB","Brazil",34,"Latin America",2014,"Brazil","Journal of Insect Science","United States","North America"
"597","Guillermo-Ferreira, R","RGF","Brazil",35,"Latin America",2014,"Brazil","International Journal of Odonatology","Germany","Europe"
"598","Bispo, PC","PDCB","Brazil",35,"Latin America",2014,"Brazil","International Journal of Odonatology","Germany","Europe"
"599","Neiss, UG","UGN","Brazil",35,"Latin America",2014,"Brazil","International Journal of Odonatology","Germany","Europe"
"600","Hamada, N","NH","Brazil",35,"Latin America",2014,"Brazil","International Journal of Odonatology","Germany","Europe"
"601","Belokobylskij, SA","SAB","Russia",36,"Europe",2014,"Mexico","ZooKeys","Bulgaria","Europe"
"602","Zaldivar-Riveron, A","AZRV","Mexico",36,"Latin America",2014,"Mexico","ZooKeys","Bulgaria","Europe"
"603","Bogan, MT","MICBG","USA",37,"North America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"604","Noriega-Felix, N","NNF","Mexico",37,"Latin America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"605","Vidal-Aguilar, SL","SLVG","Mexico",37,"Latin America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"606","Gutierrez-Ruacho, OG","OGGR","Mexico",37,"Latin America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"607","Alvarado-Castro, JA","JAAC","Mexico",37,"Latin America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"608","Findley, LT","LTF","Mexico",37,"Latin America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"609","Lytle, DA","DAL","USA",37,"North America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"610","Varela-Romero, A","AVRM","Mexico",37,"Latin America",2014,"Mexico","Biodiversity and Conservation","Netherlands","Europe"
"611","Cruz, PV","PVC","Brazil",38,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"612","De-Souza, MR","MRS","Brazil",38,"Latin America",2014,"Brazil","Zootaxa","New Zealand","Oceania"
"613","Martello, AR","ARMT","Brazil",39,"Latin America",2014,"Brazil","Revista de Biologia Tropical","Costa Rica","Latin America"
"614","Hepp, LU","LUH","Brazil",39,"Latin America",2014,"Brazil","Revista de Biologia Tropical","Costa Rica","Latin America"
"615","Kotzian, CB","CBK","Brazil",39,"Latin America",2014,"Brazil","Revista de Biologia Tropical","Costa Rica","Latin America"
"616","Yoshida, CE","CEYS","Brazil",41,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"617","Uieda, VS","VSUI","Brazil",41,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"618","Latorre-Beltrán, IT","ITLB","Colombia",42,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"619","Novelo-Gutierrez, R","RODNGUT","Mexico",42,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"620","Favila, ME","MEF","Mexico",42,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"621","Bruder, A","ABR","Switzerland",43,"Europe",2014,"Latin America","FRESHWATER BIOLOGY","United Kingdom","Europe"
"622","Schindler, MH","MHSC","Switzerland",43,"Europe",2014,"Latin America","FRESHWATER BIOLOGY","United Kingdom","Europe"
"623","Gessner, MO","MARGE","Switzerland",43,"Europe",2014,"Latin America","FRESHWATER BIOLOGY","United Kingdom","Europe"
"624","Moretti, MS","MSMR","Brazil",43,"Latin America",2014,"Latin America","FRESHWATER BIOLOGY","United Kingdom","Europe"
"625","Cauvy-Fraunie, S","SOFCAUF","France",44,"Europe",2014,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"626","Dangles, O","OLIDAN","France",44,"Europe",2014,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"627","Espinosa, R","RODESP","Ecuador",44,"Latin America",2014,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"628","Andino, P","PA","Ecuador",44,"Latin America",2014,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"629","Jacobsen, D","DENJD","Denmark",44,"Europe",2014,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"630","Jacobsen, D","DENJD","Denmark",46,"Europe",2014,"Ecuador","Freshwater Science","United States","North America"
"631","Andino, P","PA","Ecuador",46,"Latin America",2014,"Ecuador","Freshwater Science","United States","North America"
"632","Cauvy-Fraunie, S","SOFCAUF","Ecuador",46,"Latin America",2014,"Ecuador","Freshwater Science","United States","North America"
"633","Espinosa, R","RODESP","Ecuador",46,"Latin America",2014,"Ecuador","Freshwater Science","United States","North America"
"634","Dangles, O","OLIDAN","Ecuador",46,"Latin America",2014,"Ecuador","Freshwater Science","United States","North America"
"635","Calvez, R","RC","France",46,"Europe",2014,"Ecuador","Freshwater Science","United States","North America"
"636","Ferreira, WR","WRF","Brazil",47,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"637","Ligeiro, R","RAPLIG","Brazil",47,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"638","Macedo, DR","DRM","Brazil",47,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"639","Callisto, M","MC","Brazil",47,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"640","Hughes, RM","RMH","USA",47,"North America",2014,"Brazil","Freshwater Science","United States","North America"
"641","Kaufmann, PR","PHIRKAU","USA",47,"North America",2014,"Brazil","Freshwater Science","United States","North America"
"642","Oliveira, LG","LGO","Brazil",47,"Latin America",2014,"Brazil","Freshwater Science","United States","North America"
"643","Macedo, DR","DRM","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"644","Hughes, RM","RMH","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"645","Ligeiro, R","RAPLIG","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"646","Ferreira, WR","WRF","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"647","Oliveira, DR","DRO","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"648","Firmiano, KR","KRF","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"649","Callisto, M","MC","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"650","Castro, MA","MAC","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"651","Junqueira, NT","NTJ","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"652","Pompeu, PS","PAUSPOM","Brazil",49,"Latin America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"653","Kaufmann, PR","PHIRKAU","USA",49,"North America",2014,"Brazil","Landscape Ecology","Netherlands","Europe"
"654","Longo, M","MLG","Colombia",50,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"655","Blanco, JF","JUNFB","Colombia",50,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"656","Reyes-Morales, F","FATRM","Costa Rica",52,"Latin America",2014,"Guatemala","Revista de Biologia Tropical","Costa Rica","Latin America"
"657","Springer, M","MSGE","Costa Rica",52,"Latin America",2014,"Guatemala","Revista de Biologia Tropical","Costa Rica","Latin America"
"658","Forero, LC","LCFR","Colombia",54,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"659","Longo, M","MLG","Colombia",54,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"660","Jairo Ramirez, J","JRJR","Colombia",54,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"661","Chalar, G","GC","Uruguay",54,"Latin America",2014,"Colombia","Revista de Biologia Tropical","Costa Rica","Latin America"
"662","Chaves-Ulloa, R","RCU","USA",56,"North America",2014,"Costa Rica","Revista de Biologia Tropical","Costa Rica","Latin America"
"663","Umana-Villalobos, G","GMVI","Costa Rica",56,"Latin America",2014,"Costa Rica","Revista de Biologia Tropical","Costa Rica","Latin America"
"664","Springer, M","MSGE","Costa Rica",56,"Latin America",2014,"Costa Rica","Revista de Biologia Tropical","Costa Rica","Latin America"
"665","Cauvy-Fraunie, S","SOFCAUF","France",57,"Europe",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"666","Dangles, O","OLIDAN","France",57,"Europe",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"667","Andino, P","PA","Ecuador",57,"Latin America",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"668","Espinosa, R","RODESP","Ecuador",57,"Latin America",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"669","Calvez, R","RC","France",57,"Europe",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"670","Anthelme, F","FANH","France",57,"Europe",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"671","Jacobsen, D","DENJD","Denmark",57,"Europe",2014,"Ecuador","Hydrological Processes","United Kingdom","Europe"
"672","Gutierrez-Fonseca, PE","PEGF","Puerto Rico",58,"Latin America",2014,"Costa Rica","Revista de Biologia Tropical","Costa Rica","Latin America"
"673","Lorion, CM","CML","Costa Rica",58,"Latin America",2014,"Costa Rica","Revista de Biologia Tropical","Costa Rica","Latin America"
"674","Everaert, G","GEV","Belgium",59,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"675","Boets, P","PIEBOE","Belgium",59,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"676","Goethals, PLM","PLMG","Belgium",59,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"677","De Neve, J","JN","Belgium",59,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"678","Thas, O","OTHS","Belgium",59,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"679","Dominguez-Granda, L","LEDG","Ecuador",59,"Latin America",2014,"Ecuador","PLOS ONE","United States","North America"
"680","Mereta, ST","STM","Ethiopia",59,"Africa",2014,"Ecuador","PLOS ONE","United States","North America"
"681","Ambelu, A","AA","Ethiopia",59,"Africa",2014,"Ecuador","PLOS ONE","United States","North America"
"682","Hoang, TH","THH","Vietnam",59,"Asia",2014,"Ecuador","PLOS ONE","United States","North America"
"683","Rico-Sanchez, AE","AERS","Mexico",62,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"684","Rodriguez-Romero, AJ","AJRR","Mexico",62,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"685","Lopez-Lopez, E","ELL","Mexico",62,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"686","Sedeno-Diaz, JE","JESD","Mexico",62,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"687","Oliveira, VC","VCO","Brazil",63,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"688","Goncalves, EA","EAG","Brazil",63,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"689","Alves, RG","RGA","Brazil",63,"Latin America",2014,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"690","Iniguez-Armijos, C","CIA","Ecuador",65,"Latin America",2014,"Ecuador","PLOS ONE","United States","North America"
"691","Leiva, A","ALV","Ecuador",65,"Latin America",2014,"Ecuador","PLOS ONE","United States","North America"
"692","Frede, HG","HGF","Germany",65,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"693","Breuer, L","LUTBRE","Germany",65,"Europe",2014,"Ecuador","PLOS ONE","United States","North America"
"694","Hampel, H","HH","Ecuador",65,"Latin America",2014,"Ecuador","PLOS ONE","United States","North America"
"695","Vieira, LCG","LCGV","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"696","Ribeiro, HR","HRR","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"697","de Souza, ACB","ACBS","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"698","Bini, LM","LMBI","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"699","Vital, MVC","MVCV","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"700","da Silva, LCF","LEOCFDSIL","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"701","Pinheiro, RCD","RCDP","Brazil",66,"Latin America",2014,"Brazil","Natureza & Conservação","Brazil","Latin America"
"702","Siri, A","ASR","Argentina",67,"Latin America",2014,"Argentina","Acta Entomologica Musei Nationalis Pragae","Czech Republic","Europe"
"703","Brodin, Y","YB","Sweden",67,"Europe",2014,"Argentina","Acta Entomologica Musei Nationalis Pragae","Czech Republic","Europe"
"704","Ruiz, M","MRZ","Mexico",70,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"705","Lopez-Portillo, J","JLPO","Mexico",70,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"706","Brand, C","CBR","Argentina",71,"Latin America",2014,"Argentina","Zoological Studies","Taiwan","Asia"
"707","Miserendino, ML","MARLMIS","Argentina",71,"Latin America",2014,"Argentina","Zoological Studies","Taiwan","Asia"
"708","Ragonha, FH","FHR","Brazil",72,"Latin America",2014,"Brazil","Journal of Limnology","Italy","Europe"
"709","Takeda, AM","AMTK","Brazil",72,"Latin America",2014,"Brazil","Journal of Limnology","Italy","Europe"
"710","Nunes, MV","MARCVNUN","Brazil",73,"Latin America",2014,"Brazil","Studies on Neotropical Fauna and Environment","United Kingdom","Europe"
"711","Rocha, O","ORO","Brazil",73,"Latin America",2014,"Brazil","Studies on Neotropical Fauna and Environment","United Kingdom","Europe"
"712","Verani, JR","JRVR","Brazil",73,"Latin America",2014,"Brazil","Studies on Neotropical Fauna and Environment","United Kingdom","Europe"
"713","Pinon Flores, MA","MAPF","Mexico",76,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"714","Munguia, RMP","RMPM","Mexico",76,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"715","Torres Garcia, U","UTGC","Mexico",76,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"716","Pineda Lopez, R","RPLN","Mexico",76,"Latin America",2014,"Mexico","Revista de Biologia Tropical","Costa Rica","Latin America"
"717","Fierro, P","PF","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"718","Bertran, C","CBTN","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"719","Mercado, M","MMD","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"720","Pena-Cortes, F","FPC","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"721","Tapia, J","JTPA","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"722","Hauenstein, E","EHA","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"723","Caputo, L","LUCCP","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"724","Vargas-Chacoff, L","LVCH","Chile",2,"Latin America",2015,"Chile","Latin American Journal of Aquatic Research","Chile","Latin America"
"725","de Souza, ST","STS","Brazil",3,"Latin America",2015,"Brazil","ZooKeys","Bulgaria","Europe"
"726","Nunes Morais, AL","ANALNUNM","Brazil",3,"Latin America",2015,"Brazil","ZooKeys","Bulgaria","Europe"
"727","Cordeiro, LM","LMCD","Brazil",3,"Latin America",2015,"Brazil","ZooKeys","Bulgaria","Europe"
"728","Leal-Zanchet, AM","AMLZ","Brazil",3,"Latin America",2015,"Brazil","ZooKeys","Bulgaria","Europe"
