Authors,Country,PubID,Affiliation,year
JMB,Brazil,1,Latin America,2019
KDS,Brazil,1,Latin America,2019
MAT,Brazil,1,Latin America,2019
LJ,Brazil,1,Latin America,2019
CD,Brazil,2,Latin America,2019
AEM,Scotland,2,Europe,2019
JZ,Brazil,2,Latin America,2019
CPD,Brazil,2,Latin America,2019
FMC,Brazil,3,Latin America,2019
JSFS,Brazil,3,Latin America,2019
DSN,Brazil,3,Latin America,2019
DB,Switzerland,3,Europe,2019
NSP,Brazil,3,Latin America,2019
AABO,Brazil,3,Latin America,2019
PC,Brazil,3,Latin America,2019
RPB,Brazil,3,Latin America,2019
BO,Switzerland,3,Europe,2019
PMJ,Brazil,3,Latin America,2019
CWCB,Brazil,4,Latin America,2019
JJFL,Brazil,4,Latin America,2019
VLMG,Brazil,4,Latin America,2019
DSF,Brazil,4,Latin America,2019
TDSP,Brazil,4,Latin America,2019
IFSF,Brazil,4,Latin America,2019
EFAP,Brazil,4,Latin America,2019
AWSG,Brazil,4,Latin America,2019
ARG,Brazil,4,Latin America,2019
BKS,Brazil,4,Latin America,2019
JDGT,Colombia,5,Latin America,2019
JCDR,Colombia,5,Latin America,2019
IM,Spain,5,Europe,2019
SS,Spain,5,Europe,2019
RSR,Brazil,6,Latin America,2019
AOM,Brazil,6,Latin America,2019
JFGJ,Brazil,6,Latin America,2019
MJF,Portugal,6,Europe,2019
EPG,Brazil,6,Latin America,2019
VAAG,Brazil,6,Latin America,2019
AC,Brazil,6,Latin America,2019
JSDA,Brazil,6,Latin America,2019
GMS,Brazil,7,Latin America,2019
MSS,Brazil,7,Latin America,2019
MC,Brazil,7,Latin America,2019
JCM,Portugal,7,Europe,2019
VV,Brazil,8,Latin America,2019
TPGM,Brazil,8,Latin America,2019
JSRF,Brazil,8,Latin America,2019
EC,Brazil,11,Latin America,2019
TS,Brazil,11,Latin America,2019
ASM,Brazil,11,Latin America,2019
MLB,Brazil,11,Latin America,2019
VLL,Brazil,11,Latin America,2019
FS,Brazil,11,Latin America,2019
LAC,Colombia,14,Latin America,2019
LM,Colombia,14,Latin America,2019
GAP,Colombia,14,Latin America,2019
AL,Spain,14,Europe,2019
AS,Colombia,14,Latin America,2019
PHA,USA,14,North America,2019
BMB,Brazil,15,Latin America,2019
ASG,Brazil,15,Latin America,2019
MMP,Brazil,15,Latin America,2019
CBK,Brazil,15,Latin America,2019
JOZ,Brazil,16,Latin America,2019
MAPM,Brazil,16,Latin America,2019
CARF,Brazil,16,Latin America,2019
GLB,Brazil,16,Latin America,2019
LC,Brazil,16,Latin America,2019
LMT,Argentina,18,Latin America,2019
JM,Argentina,18,Latin America,2019
BTM,Brazil,20,Latin America,2019
ATQ,Cuba,20,Latin America,2019
YTC,Cuba,20,Latin America,2019
FOR,Brazil,20,Latin America,2019
JSF,Brazil,21,Latin America,2019
RS,Brazil,21,Latin America,2019
RMH,USA,21,North America,2019
LCR,USA,22,North America,2019
PEGF,Costa Rica,22,Latin America,2019
AR,USA,22,North America,2019
MAP,Argentina,23,Latin America,2019
AVIS,Argentina,23,Latin America,2019
AM,Ecuador,25,Latin America,2019
VCP,Ecuador,25,Latin America,2019
BRT,Ecuador,25,Latin America,2019
DCG,Mexico,28,Latin America,2019
JAC,Mexico,28,Latin America,2019
LAO,Mexico,28,Latin America,2019
MSL,Brazil,29,Latin America,2019
WA,Brazil,29,Latin America,2019
RRCS,Brazil,29,Latin America,2019
RPL,Brazil,29,Latin America,2019
RML,Mexico,30,Latin America,2019
AMR,Mexico,30,Latin America,2019
FVA,Brazil,31,Latin America,2019
SAE,Brazil,31,Latin America,2019
TLCC,Brazil,31,Latin America,2019
MAS,Brazil,31,Latin America,2019
EMS,Brazil,33,Latin America,2019
RH,Brazil,33,Latin America,2019
CEC,Brazil,34,Latin America,2019
RMU,USA,34,North America,2019
WMS,Brazil,34,Latin America,2019
FSN,Brazil,34,Latin America,2019
KBG,USA,34,North America,2019
ADTJ,Brazil,35,Latin America,2019
LPM,Brazil,35,Latin America,2019
PVS,Brazil,35,Latin America,2019
NYS,Brazil,35,Latin America,2019
DAT,Brazil,35,Latin America,2019
PAP,Brazil,35,Latin America,2019
BMG,Brazil,35,Latin America,2019
FB,Costa Rica,36,Latin America,2019
DR,Costa Rica,36,Latin America,2019
SES,Costa Rica,36,Latin America,2019
WVE,Belgium,37,Europe,2019
MAEF,Belgium,37,Europe,2019
CVH,Belgium,37,Europe,2019
RB,Ecuador,37,Latin America,2019
LH,Belgium,37,Europe,2019
AMRM,Ecuador,37,Latin America,2019
RNPN,Ecuador,37,Latin America,2019
LEDG,Ecuador,37,Latin America,2019
DS,Ecuador,37,Latin America,2019
PLMG,Belgium,37,Europe,2019
MER,Brazil,38,Latin America,2019
RGF,Brazil,38,Latin America,2019
VSS,Brazil,38,Latin America,2019
MJS,South Africa,38,Africa,2019
PLF,Brazil,39,Latin America,2019
CA,Brazil,39,Latin America,2019
DLHS,Brazil,39,Latin America,2019
EOS,Brazil,39,Latin America,2019
RAB,Brazil,39,Latin America,2019
RWA,Brazil,39,Latin America,2019
FHO,Brazil,39,Latin America,2019
DMPC,Brazil,40,Latin America,2019
DRM,Brazil,40,Latin America,2019
GWF,Brazil,40,Latin America,2019
MCB,Brazil,41,Latin America,2019
LLW,Brazil,41,Latin America,2019
MPN,Brazil,41,Latin America,2019
RLD,Brazil,41,Latin America,2019
SR,Brazil,42,Latin America,2019
EP,Brazil,42,Latin America,2019
MSD,Brazil,42,Latin America,2019
GS,Sweden,42,Europe,2019
DKP,Brazil,44,Latin America,2019
GCA,Colombia,44,Latin America,2019
KRP,Colombia,44,Latin America,2019
MLCR,Colombia,44,Latin America,2019
JASD,Brazil,45,Latin America,2019
AMT,Brazil,45,Latin America,2019
IFG,Brazil,45,Latin America,2019
YM,Brazil,45,Latin America,2019
PV,Slovakia,46,Europe,2019
HS,Slovakia,46,Europe,2019
DNA,Russia,46,Europe,2019
GB,Germany,46,Europe,2019
PM,Germany,46,Europe,2019
SE,Germany,46,Europe,2019
DA,China,46,Asia,2019
KU,Japan,46,Asia,2019
PB,Slovakia,46,Europe,2019
TG,Ecuador,46,Latin America,2019
SLRG,Mexico,47,Latin America,2019
AAC,Mexico,47,Latin America,2019
ACR,Mexico,47,Latin America,2019
CCP,Colombia,48,Latin America,2019
LAAC,Colombia,48,Latin America,2019
PAAC,Colombia,48,Latin America,2019
DGO,Colombia,48,Latin America,2019
MLC,Colombia,48,Latin America,2019
SCSL,Colombia,48,Latin America,2019
LRC,Colombia,48,Latin America,2019
CTCG,Colombia,48,Latin America,2019
MEP,Colombia,48,Latin America,2019
MNAP,Colombia,48,Latin America,2019
AF,England,49,Europe,2019
SLB,Brazil,50,Latin America,2019
DVS,Brazil,50,Latin America,2019
HSRC,Brazil,50,Latin America,2019
JDB,Brazil,50,Latin America,2019
TBV,Brazil,50,Latin America,2019
JMBO,Brazil,50,Latin America,2019
FGC,Brazil,50,Latin America,2019
LBC,Brazil,50,Latin America,2019
MNM,Brazil,50,Latin America,2019
ISW,Costa Rica,51,Latin America,2019
DHD,Costa Rica,51,Latin America,2019
NC,USA,51,North America,2019
DNB,Germany,53,Europe,2019
GGLB,Germany,53,Europe,2019
GRSS,Brazil,54,Latin America,2019
JS,Brazil,54,Latin America,2019
DGN,Brazil,54,Latin America,2019
NFS,Brazil,54,Latin America,2019
DCFB,Brazil,56,Latin America,2019
DFB,Brazil,56,Latin America,2019
