main ,coauthor,PubID
JA,EGE,1
JA,AL,1
JA,LML,1
JA,LAO,1
LB,RCB,2
YBA,NH,4
YBA,SMD,4
ASM,CGF,6
OF,JGW,9
OF,CH,9
OF,GS,9
OF,RM,9
ASM,CGF,12
AR,CMP,13
