"","abrev","country"
"248","AES","Brazil"
"249","NP","Spain"
"250","JM","Brazil"
"251","MJF","Portugal"
"252","FS","Portugal"
"253","JCM","Portugal"
"254","LM","Brazil"
"255","MSD","Brazil"
"256","CS","Brazil"
"257","ASR","Brazil"
"258","LUH","Brazil"
"259","ECSF","Brazil"
"260","ES","Brazil"
"261","AJS","Mexico"
"262","MAS","Mexico"
"263","AAMC","Mexico"
"264","YFD","Mexico"
"265","LV","Mexico"
"266","NO","Mexico"
"267","LR","Mexico"
"268","SES","Costa Rica"
"269","MF","Costa Rica"
"270","MP","Costa Rica"
"271","CR","Costa Rica"
"272","EdlC","Costa Rica"
"273","BCamp","Spain"
"274","JSA","Spain"
"275","SL","Spain"
"276","KS","Costa Rica"
"277","CB","Spain"
"278","LA","Argentina"
"279","CO","Argentina"
"280","ARC","Argentina"
"281","AMCS","Colombia"
"282","JDC","Colombia"
"283","MdCZ","Colombia"
"284","RGP","Australia"
"285","LB","Australia"
"286","FB","Brazil"
"287","ACADS","Brazil"
"288","MVUG","Brazil"
"289","MdCC","Brazil"
"290","FOR","Brazil"
"291","DVLM","Brazil"
"292","TS","Brazil"
"293","LJSV","Brazil"
"294","MS","Brazil"
"295","PP","Brazil"
"296","PCB","Brazil"
"297","SSC","Brazil"
"298","JLC","Spain"
"299","CFR","Brazil"
"300","CC","Spain"
"301","DS","Brazil"
"302","VD","Brazil"
"303","RMR","Brazil"
"304","JMM","USA"
"305","SBS","USA"
"306","KM","USA"
"307","JFG","USA"
"308","EGT","Argentina"
"309","AM","Argentina"
"310","RLF","Brazil"
"311","LKC","Brazil"
"312","ESFM","Brazil"
"313","VW","Argentina"
"314","PAC","Argentina"
"315","CV","Spain"
"316","MR","Spain"
"317","MJP","USA"
"318","MCR","Argentina"
"319","DADS","Argentina"
"320","GBC","Brazil"
"321","SS","Brazil"
"322","DMPC","Brazil"
"323","RMH","Brazil"
"324","MSA","Brazil"
"325","TCB","Brazil"
"326","AP","Brazil"
"327","WJM","Brazil"
"328","GES","USA"
"329","PJT","Chile"
"330","LMS","Germany"
"331","JHD","USA"
"332","MAMC","Brazil"
"333","CCB","Brazil"
"334","NRS","Brazil"
"335","GMA","Brazil"
"336","FALT","Brazil"
"337","PJT","USA"
"338","MA","USA"
"339","APJ","USA"
"340","FJT","USA"
"341","CB","Brazil"
"342","AMT","Brazil"
"343","EC","Brazil"
"344","MTS","Brazil"
"345","BFJVR","Brazil"
"346","MVDDS","Brazil"
"347","FNOF","Brazil"
"348","LCG","Brazil"
"349","JH","Brazil"
"350","MSF","Argentina"
"351","MBC","Argentina"
"352","AOB","Argentina"
"353","FGJ","Argentina"
"354","CAU","Argentina"
"355","MGP","Argentina"
"356","MMP","Brazil"
"357","PDCB","Brazil"
"358","MCN","Brazil"
"359","MSL","Brazil"
"360","GGF","Brazil"
"361","LMF","Brazil"
"362","GPSD","Brazil"
"363","JMCDN","Brazil"
"364","FFS","Brazil"
"365","CAM","USA"
"366","AEZS","USA"
"367","HAP","Brazil"
"368","ALdM","Brazil"
"369","CN","Argentina"
"370","PVC","Brazil"
"371","DNPG","Colombia"
"372","FFFM","Brazil"
"373","JFB","Brazil"
"374","HDDR","Brazil"
"375","MVLvO","Argentina"
"376","MIM","Spain"
"377","MMC","Venezuela"
"378","MLP","USA"
"379","SS","Venezuela"
"380","MV","Brazil"
"381","SF","Argentina"
"382","GZ","Argentina"
"383","AC","Argentina"
"384","LQ","Argentina"
"385","DVV","Argentina"
"386","TC","Chile"
"387","JOJ","Chile"
"388","PFE","USA"
"389","RRZ","Chile"
"390","LSB","Brazil"
"391","JDB","Brazil"
"392","MGP","Brazil"
"393","ACOV","USA"
"394","MCZU","Colombia"
"395","WC","Colombia"
"396","CMLI","Argentina"
"397","JMV","Colombia"
"398","CCU","Colombia"
"399","AGI","Colombia"
"400","JMVR","Colombia"
"401","GGC","Colombia"
"402","GRF","Colombia"
"403","FSLL","Brazil"
"404","JLG","Switzerland"
"405","KBA","Brazil"
"406","ICG","Brazil"
"407","MAST","Switzerland"
"408","UTGC","Mexico"
"409","CXPV","Mexico"
"410","YHD","Mexico"
"411","RPLN","Mexico"
"412","JFB","Colombia"
"413","JJV","Brazil"
"414","PRK","USA"
"415","ASTT","Brazil"
"416","RMG","Brazil"
"417","FAC","Brazil"
"418","JRSM","Brazil"
"419","DMTK","Brazil"
"420","JFG","Brazil"
"421","MCNV","Brazil"
"422","PARM","Argentina"
"423","LDMC","Brazil"
"424","MSRI","Brazil"
"425","BMB","Brazil"
"426","AVBS","Brazil"
"427","TDU","Brazil"
"428","ARC","Brazil"
"429","GPE","Colombia"
"430","CJGS","Colombia"
"431","CETT","Colombia"
"432","RGF","Brazil"
"433","UGN","Brazil"
"434","SAB","Russia"
"435","AZRV","Mexico"
"436","NNF","Mexico"
"437","SLVG","Mexico"
"438","OGGR","Mexico"
"439","JAAC","Mexico"
"440","LTF","Mexico"
"441","AVRM","Mexico"
"442","ARMT","Brazil"
"443","CEYS","Brazil"
"444","ITLB","Colombia"
"445","RNGT","Mexico"
"446","MEF","Mexico"
"447","ABR","Switzerland"
"448","MHSC","Switzerland"
"449","MOG","Switzerland"
"450","MSMR","Brazil"
"451","SCF","France"
"452","OD","France"
"453","SCF","Ecuador"
"454","WRF","Brazil"
"455","DRM","Brazil"
"456","RMH","USA"
"457","LGO","Brazil"
"458","DRO","Brazil"
"459","KRF","Brazil"
"460","MAC","Brazil"
"461","NTJ","Brazil"
"462","PRK","Brazil"
"463","FRM","Costa Rica"
"464","LCFR","Colombia"
"465","GC","Uruguay"
"466","RCU","USA"
"467","GMVI","Costa Rica"
"468","FANH","France"
"469","PEGF","Puerto Rico"
"470","CML","Costa Rica"
"471","GEV","Belgium"
"472","PB","Belgium"
"473","JN","Belgium"
"474","OTHS","Belgium"
"475","STM","Ethiopia"
"476","AA","Ethiopia"
"477","THH","Vietnam"
"478","AERS","Mexico"
"479","AJRR","Mexico"
"480","ELL","Mexico"
"481","JESD","Mexico"
"482","EAG","Brazil"
"483","CIA","Ecuador"
"484","ALV","Ecuador"
"485","HH","Ecuador"
"486","LCGV","Brazil"
"487","HRR","Brazil"
"488","ACBS","Brazil"
"489","MVCV","Brazil"
"490","LCFS","Brazil"
"491","RCDP","Brazil"
"492","ASR","Argentina"
"493","YB","Sweden"
"494","MRZ","Mexico"
"495","JLPO","Mexico"
"496","CBR","Argentina"
"497","FHR","Brazil"
"498","MVN","Brazil"
"499","JRVR","Brazil"
"500","MAPF","Mexico"
"501","RMPM","Mexico"
"502","PF","Chile"
"503","CBTN","Chile"
"504","MMD","Chile"
"505","FPC","Chile"
"506","JTPA","Chile"
"507","EHA","Chile"
"508","LC","Chile"
"509","LVCH","Chile"
"510","ALNM","Brazil"
"511","LMCD","Brazil"
"512","AMLZ","Brazil"
"513","PFC","Argentina"
"514","BB","Argentina"
"515","LCAR","Argentina"
"516","GK","Argentina"
"517","JSPT","Germany"
"518","VF","Brazil"
"519","MJC","Belgium"
"520","PKT","England"
"521","AAMM","Canada"
"522","NACM","Brazil"
"523","PMO","Brazil"
"524","GCOP","Brazil"
"525","BARD","Puerto Rico"
"526","MJRD","Puerto Rico"
"527","GQR","Brazil"
"528","MVDL","Argentina"
"529","DSRV","Canada"
"530","ACOR","Argentina"
"531","MVLO","Argentina"
"532","RCEP","Argentina"
"533","ARCO","Argentina"
"534","RMSH","Spain"
"535","MJC","USA"
"536","RCOL","Spain"
"537","TCSF","Brazil"
"538","CFLO","Brazil"
"539","MSMC","Brazil"
"540","CVG","Brazil"
"541","JPZA","Argentina"
"542","REPR","Argentina"
"543","AMO","Argentina"
"544","CMG","Argentina"
"545","IMS","Brazil"
"546","BSA","Brazil"
"547","GBSA","Brazil"
"548","JMZ","Brazil"
"549","FVNT","Brazil"
"550","RK","Brazil"
"551","AKMY","Brazil"
"552","JTM","Brazil"
"553","KMS","Belgium"
"554","LFVH","Brazil"
"555","TRB","USA"
"556","JMD","USA"
"557","ATRG","USA"
"558","TCF","Canada"
"559","CMSW","USA"
"560","CHU","South Africa"
"561","RJA","Argentina"
"562","MARU","India"
"563","ECH","France"
"564","ACO","Panama"
"565","DD","China"
"566","MOG","Germany"
"567","JMMO","Kenya"
"568","BGM","Sweden"
"569","CMYU","Malaysia"
"570","JHI","Finland"
"571","FA","Switzerland"
"572","SAA","Malaysia"
"573","DGA","Sweden"
"574","NB","Spain"
"575","KC","Canada"
"576","EGO","Denmark"
"577","MGR","Finland"
"578","CSMR","Malaysia"
"579","MERD","Brazil"
"580","LSN","Sweden"
"581","DSCH","Switzerland"
"582","LFSG","Brazil"
"583","JPSM","South Africa"
"584","RMTP","Australia"
"585","CRTW","New Zealand"
"586","PKR","USA"
"587","LCF","USA"
"588","MICR","Colombia"
"589","JCDR","Colombia"
"590","EMC","Brazil"
"591","IRSC","Brazil"
"592","CMR","England"
"593","APVL","England"
"594","VSS","Brazil"
"595","JSOI","Finland"
"596","JAGA","Mexico"
"597","LSS","Brazil"
"598","BAQ","Brazil"
"599","NC","Brazil"
"600","JVG","Brazil"
"601","RFU","Brazil"
"602","MF","Brazil"
