V1,V2,PubId
DB,NC,1
DJV,ACE,2
DJV,BRT,2
DJV,ES,2
DJV,NP,2
NB,JL,3
ACCA,MCPP,4
ACCA,RJP,4
SCF,RE,5
SCF,PA,5
SCF,DJ ,5
SCF,OD,5
KAC,ASF,6
RC,MDb,7
RC,JB,7
JW,DFP,8
JW,SPH,8
JW,KAH,8
LALR,GNR,9
LALR,STS,9
CHFP,FPK,10
CHFP,HLL,10
CHFP,EP,10
CHFP,PFP,10
CHFP,AG,10
LCAL,TAM,11
LCAL,ESFM,11
LCAL,SGB,11
LCAL,JGL,11
LCAL,CK,11
LCAL,FP ,11
LCAL,MD,11
GRG,RGA,12
GDM,VDV,13
GDM,RJA,13
CB,DE,14
CB,YQ,14
DM,JC,15
DM,EACU,15
ZMM,KCA,16
