Authors,Country,PubID,Affiliation,year
LIG,Argentina,23,Latin America,2020
FQA,Costa Rica,24,Latin America,2020
DSU,Costa Rica,24,Latin America,2020
RNGG,Colombia,25,Latin America,2020
KSJT,Colombia,25,Latin America,2020
EMOP,Colombia,25,Latin America,2020
VSR,Brazil,25,Latin America,2020
PAOS,Colombia,25,Latin America,2020
FARP,Colombia,25,Latin America,2020
AMC,Panama,26,Latin America,2020
KS,Panama,26,Latin America,2020
CFA,Panama,26,Latin America,2020
KAC,Panama,26,Latin America,2020
LARC,Panama,26,Latin America,2020
LCM,Panama,26,Latin America,2020
LFL,Panama,26,Latin America,2020
RCGL,Brazil,28,Latin America,2020
LMP,Brazil,28,Latin America,2020
LAVB,Brazil,28,Latin America,2020
JISB,Brazil,28,Latin America,2020
LSB,Brazil,29,Latin America,2020
ELL,Brazil,29,Latin America,2020
ZAS,Brazil,29,Latin America,2020
DRGRB,Brazil,29,Latin America,2020
LASM,Brazil,33,Latin America,2020
GRD,Brazil,33,Latin America,2020
WRMS,Brazil,33,Latin America,2020
LRCL,Brazil,33,Latin America,2020
AYC,Panama,34,Latin America,2020
RGG,Panama,34,Latin America,2020
CA,Panama,34,Latin America,2020
EPS,Brazil,35,Latin America,2020
HHW,Canada,35,North America,2020
SFBF,Brazil,35,Latin America,2020
TS,Brazil,35,Latin America,2020
EK,France,36,Europe,2020
DWR,Panama,36,Latin America,2020
REC,Ecuador,36,Latin America,2020
ALLS,Brazil,37,Latin America,2020
PWL,Brazil,37,Latin America,2020
JA,Brazil,37,Latin America,2020
MMP,Brazil,37,Latin America,2020
MJF,Portugal,37,Europe,2020
JSS,Brazil,38,Latin America,2020
LLW,Brazil,38,Latin America,2020
LTB,Brazil,38,Latin America,2020
ATBG,Brazil,38,Latin America,2020
LPM,Brazil,39,Latin America,2020
SRMC,Brazil,39,Latin America,2020
DSV,Brazil,39,Latin America,2020
MSK,USA,40,North America,2020
CLZ,Ecuador,40,Latin America,2020
MLGA,Ecuador,40,Latin America,2020
GCA,Colombia,41,Latin America,2020
KRP,Colombia,41,Latin America,2020
JD,Colombia,41,Latin America,2020
TJDG,Colombia,41,Latin America,2020
RAB,Brazil,42,Latin America,2020
JF,Australia,42,Oceania,2020
BEL,Brazil,42,Latin America,2020
VMS,Brazil,42,Latin America,2020
BDV,Brazil,42,Latin America,2020
CY,USA,43,North America,2020
SJW,USA,43,North America,2020
ATR,USA,43,North America,2020
ISW,Costa Rica,43,Latin America,2020
SC,USA,43,North America,2020
MCF,USA,43,North America,2020
CM,Argentina,44,Latin America,2020
CN,Argentina,44,Latin America,2020
DADS,Argentina,44,Latin America,2020
DE,Argentina,44,Latin America,2020
MCZ,Colombia,44,Latin America,2020
PF,Chile,44,Latin America,2020
PP,Argentina,44,Latin America,2020
DG,Argentina,44,Latin America,2020
JAM,Argentina,44,Latin America,2020
REP,Argentina,44,Latin America,2020
CVZ,Chile,44,Latin America,2020
LMB,Brazil,45,Latin America,2020
DSM,Brazil,45,Latin America,2020
VLL,Brazil,45,Latin America,2020
KTT,Finland,45,Europe,2020
JJM,Finland,45,Europe,2020
JS,Finland,45,Europe,2020
NF,Chile,46,Latin America,2020
LGDZ,Chile,46,Latin America,2020
HV,Chile,46,Latin America,2020
JRR,Chile,46,Latin America,2020
RJC,USA,47,North America,2020
TD,USA,47,North America,2020
CP,USA,47,North America,2020
GD,Colombia,48,Latin America,2020
DEGG,Colombia,48,Latin America,2020
AM,Colombia,48,Latin America,2020
PC,Colombia,48,Latin America,2020
SSR,India,49,Asia,2020
FOR,Brazil,49,Latin America,2020
JPS,Netherlands,49,Europe,2020
ASM,Brazil,49,Latin America,2020
JDT,New Zealand,49,Oceania,2020
DGN,Australia,49,Oceania,2020
DPS,Brazil,49,Latin America,2020
DAZG,Brazil,50,Latin America,2020
LHT,Brazil,50,Latin America,2020
GHZA,Brazil,50,Latin America,2020
APVM,Brazil,50,Latin America,2020
EB,Brazil,50,Latin America,2020
JRB,England,50,Europe,2020
MLO,Brazil,50,Latin America,2020
MSKO,Argentina,51,Latin America,2020
MMPE,Argentina,51,Latin America,2020
LM,Argentina,51,Latin America,2020
KVS,Brazil,52,Latin America,2020
WPK,Brazil,52,Latin America,2020
MFB,Brazil,52,Latin America,2020
MAF,Brazil,52,Latin America,2020
MSM,Brazil,52,Latin America,2020
HL,Brazil,53,Latin America,2020
NRT,Brazil,53,Latin America,2020
LFM,Brazil,53,Latin America,2020
APB,Brazil,54,Latin America,2020
CGA,Brazil,54,Latin America,2020
AF,Brazil,54,Latin America,2020
JDG,Spain,54,Europe,2020
DGP,Brazil,54,Latin America,2020
RSR,Brazil,55,Latin America,2020
NK,Brazil,55,Latin America,2020
BMC,Brazil,55,Latin America,2020
CALR,Brazil,55,Latin America,2020
ASC,Brazil,55,Latin America,2020
GDC,Brazil,55,Latin America,2020
RB,Brazil,55,Latin America,2020
JAB,Brazil,55,Latin America,2020
DAS,Brazil,55,Latin America,2020
CI,Ecuador,57,Latin America,2020
RLD,Brazil,58,Latin America,2020
MPN,Brazil,58,Latin America,2020
PPS,Chile,59,Latin America,2020
MGM,Costa Rica,59,Latin America,2020
AS,Chile,59,Latin America,2020
AA,Chile,59,Latin America,2020
RU,Chile,59,Latin America,2020
BWS,USA,60,North America,2020
JMB,USA,60,North America,2020
DHF,USA,60,North America,2020
WRF,USA,60,North America,2020
TGO,Peru,60,Latin America,2020
AH,Peru,60,Latin America,2020
JKJ,USA,60,North America,2020
MA,USA,60,North America,2020
DSS,Canada,61,North America,2020
MKT,France,61,Europe,2020
AAMM,Canada,61,North America,2020
NAM,Brazil,61,Latin America,2020
DAM,USA,61,North America,2020
BCA,France,61,Europe,2020
GQR,Brazil,61,Latin America,2020
VFF,Brazil,61,Latin America,2020
IMB,Argentina,61,Latin America,2020
ODD,France,61,Europe,2020
EH,Canada,61,North America,2020
TBA,Canada,61,North America,2020
GCOP,Brazil,61,Latin America,2020
FOB,Colombia,61,Latin America,2020
JSL,Brazil,61,Latin America,2020
GM,Argentina,61,Latin America,2020
PAPA,Brazil,61,Latin America,2020
RF,Argentina,61,Latin America,2020
REE,Colombia,61,Latin America,2020
ASL,Canada,61,North America,2020
PMO,Brazil,61,Latin America,2020
ABC,Brazil,61,Latin America,2020
EJC,Brazil,62,Latin America,2020
JCM,Brazil,64,Latin America,2020
FC,Uruguay,65,Latin America,2020
SM,Uruguay,65,Latin America,2020
MV,Uruguay,65,Latin America,2020
VSU,Brazil,68,Latin America,2020
SFM,Brazil,68,Latin America,2020
CV,Ecuador,69,Latin America,2020
MR,Spain,69,Europe,2020
NP,Spain,69,Europe,2020
JFGP,Brazil,70,Latin America,2020
ES,Brazil,70,Latin America,2020
CEC,Brazil,70,Latin America,2020
GAPA,Colombia,71,Latin America,2020
CJGS,Colombia,71,Latin America,2020
CEGM,Colombia,71,Latin America,2020
JGB,Brazil,72,Latin America,2020
RTM,Brazil,72,Latin America,2020
JLN,Brazil,72,Latin America,2020
VCO,Brazil,72,Latin America,2020
RMH,USA,72,Latin America,2020
FRP,Brazil,72,Latin America,2020
NH,Brazil,72,Latin America,2020
CVS,Brazil,73,Latin America,2020
RH,Brazil,73,Latin America,2020
FVN,Brazil,74,Latin America,2020
FHS,Brazil,74,Latin America,2020
APC,Brazil,74,Latin America,2020
RJCO,Belgium,76,Europe,2020
MAEF,Belgium,76,Europe,2020
KL,Belgium,76,Europe,2020
LVB,Belgium,76,Europe,2020
GP,Ecuador,76,Latin America,2020
FCS,Ecuador,76,Latin America,2020
IN,Belgium,76,Europe,2020
PLMG,Belgium,76,Europe,2020
