Authors,Country,PubID,Affiliation,year
FPR,Colombia,1,Latin America,2020
JDB,Brazil,1,Latin America,2020
LBC,Brazil,1,Latin America,2020
ASG,Colombia,1,Latin America,2020
LJ,Brazil,1,Latin America,2020
RC,France,2,Europe,2020
LF,France,2,Europe,2020
CB,Brazil,2,Latin America,2020
JFC,France,2,Europe,2020
AC,France,2,Europe,2020
BC,France,2,Europe,2020
VJ,France,2,Europe,2020
JL,France,2,Europe,2020
TR,France,2,Europe,2020
VF,Brazil,2,Latin America,2020
CL,France,2,Europe,2020
JM,Brazil,3,Latin America,2020
DPA,Brazil,3,Latin America,2020
WAS,Brazil,3,Latin America,2020
MRW,USA,3,North America,2020
WKD,USA,3,North America,2020
CCG,USA,3,North America,2020
VNL,Brazil,3,Latin America,2020
DC,Brazil,3,Latin America,2020
JJC,Brazil,3,Latin America,2020
TDR,Brazil,4,Latin America,2020
HBF,Brazil,4,Latin America,2020
LFS,Brazil,4,Latin America,2020
CYM,Brazil,4,Latin America,2020
MMC,Brazil,4,Latin America,2020
KRF,Brazil,5,Latin America,2020
MCA,Spain,5,Europe,2020
CGC,Spain,5,Europe,2020
DRM,Brazil,5,Latin America,2020
MSL,Brazil,5,Latin America,2020
NB,Spain,5,Europe,2020
MC,Brazil,5,Latin America,2020
AAS,USA,6,North America,2020
HAW,USA,6,North America,2020
JCH,USA,6,North America,2020
ACE,Ecuador,6,Latin America,2020
ASF,USA,6,North America,2020
WCF,USA,6,North America,2020
JMG,Ecuador,6,Latin America,2020
BCK,USA,6,North America,2020
NLP,USA,6,North America,2020
SAT,USA,6,North America,2020
KRZ,USA,6,North America,2020
CKG,USA,6,North America,2020
DCMP,Brazil,8,Latin America,2020
PS,Brazil,8,Latin America,2020
RS,Brazil,8,Latin America,2020
TPM,Brazil,9,Latin America,2020
LLA,Brazil,9,Latin America,2020
WZS,Ecuador,10,Latin America,2020
FPG,Ecuador,10,Latin America,2020
VRC,Ecuador,10,Latin America,2020
CIA,Ecuador,10,Latin America,2020
JDGT,Colombia,11,Latin America,2020
VSS,Brazil,11,Latin America,2020
DKP,Brazil,11,Latin America,2020
IM,Spain,11,Europe,2020
SS,Spain,11,Europe,2020
MGT,Mexico,12,Latin America,2020
GRV,Mexico,12,Latin America,2020
TMRP,Mexico,12,Latin America,2020
LFMC,Mexico,12,Latin America,2020
CTC,Mexico,12,Latin America,2020
SL,Mexico,12,Latin America,2020
EJIP,Argentina,13,Latin America,2020
SMG,Argentina,13,Latin America,2020
MLG,Argentina,13,Latin America,2020
FR,Argentina,13,Latin America,2020
GFH,Argentina,13,Latin America,2020
ED,Argentina,13,Latin America,2020
CF,Argentina,15,Latin America,2020
KJM,Scotland,15,Europe,2020
MPK,England,15,Europe,2020
FSM,Argentina,15,Latin America,2020
FW,Zambia,15,Africa,2020
HS,Zambia,15,Africa,2020
AR,USA,16,North America,2020
NMB,USA,16,North America,2020
AMR,USA,16,North America,2020
JFS,USA,16,North America,2020
AMMS,Colombia,18,Latin America,2020
GG,Colombia,18,Latin America,2020
LGD,Colombia,18,Latin America,2020
CACM,Mexico,18,Latin America,2020
CARF,Brazil,19,Latin America,2020
JH,Finland,19,Europe,2020
JOZ,Brazil,19,Latin America,2020
SF,Brazil,19,Latin America,2020
MVC,Brazil,19,Latin America,2020
LC,Brazil,19,Latin America,2020
PEGF,Costa Rica,20,Latin America,2020
RE,Ecuador,21,Latin America,2020
PA,Ecuador,21,Latin America,2020
SCF,France,21,Europe,2020
OD,France,21,Europe,2020
DJ,Denmark,21,Europe,2020
VCP,Ecuador,21,Latin America,2020
APR,Colombia,22,Latin America,2020
CETT,Colombia,22,Latin America,2020
NAR,Colombia,22,Latin America,2020
ASGP,Argentina,23,Latin America,2020
JJN,Argentina,23,Latin America,2020
SLC,Argentina,23,Latin America,2020
